name,url,bounty,swag,domains
Alasco GmbH,https://yeswehack.com/programs/alasco-gmbh-bug-bounty-program,True,False,"['alasco.de', 'alasco.rocks']"
ATG,https://yeswehack.com/programs/atg-public-bug-bounty-program,True,False,['atg.se']
BlaBlaCar,https://yeswehack.com/programs/bug-bounty-program-blablacar,True,,"['blablacar.fr', 'blablacar.de', 'blablacar.co.uk', 'blablacar.in', 'blablacar.es', 'blablacar.mx', 'blablacar.be', 'blablacar.hr', 'blablacar.hu', 'blablacar.it', 'blablacar.nl', 'blablacar.pl', 'blablacar.com.br', 'blablacar.pt', 'blablacar.ro', 'blablacar.ru', 'blablacar.com', 'blablacar.com.tr', 'blablacar.com.ua', 'blablalines.com', 'blablacardaily.com']"
Contentsquare,https://yeswehack.com/programs/contentsquare-bug-bounty-program,True,False,['contentsquare.com']
Dailymotion,https://yeswehack.com/programs/dailymotion-public-bug-bounty,True,,"['dailymotion.com', 'dmcdn.net', 'dailymotionadvertising.com', 'dm.gg', 'dmxleo.com']"
DATADOME,https://yeswehack.com/programs/datadome-bug-bounty,True,,['datadome.co']
Deezer,https://yeswehack.com/programs/deezer-bug-bounty-program-2019,True,False,['deezer.com']
Doctolib,https://yeswehack.com/programs/doctolib-public-bug-bounty-program,True,False,"['doctolib.fr', 'doctolib.de', 'doctolib.it', 'doctolib.com', 'doctolib.net']"
Lazada,https://yeswehack.com/programs/lazada,True,True,"['lazada.sg', 'lazada.vn', 'lazada.co.id', 'lazada.co.th', 'lazada.com', 'lazada.com.ph', 'lazada.com.my', 'lazada-seller.cn', 'redmart.com', 'lel.asia', 'lex.co.id', 'lex.com.my', 'lex.in.th', 'lex.ph', 'lex.vn', 'supertms.com', 'lel.global', 'pickmee.vn', 'pickmee.id', 'pickmee.in.th', 'pickmee.ph', 'pickmee.my', 'pickmee.sg', 'lazlogistics.co.id', 'lazlogistics.in.th', 'lazlogistics.sg', 'lazlogistics.vn', 'lazlogistics.my', 'lazlogistics.ph']"
MON ESPACE SANTÉ,https://yeswehack.com/programs/mon-espace-sante-mes,True,False,['monespacesante.fr']
Muslim Pro,https://yeswehack.com/programs/muslim-pro,True,,['muslimpro.com']
OVH,https://yeswehack.com/programs/ovh,True,,['ovh.com']
OVO,https://yeswehack.com/programs/ovo-bug-bounty-program,True,False,"['ovo.id', 'taralite.com']"
Qwant,https://yeswehack.com/programs/qwant,True,,['qwant.com']
Swapcard,https://yeswehack.com/programs/swapcard,True,False,['swapcard.com']
Swiss Post,https://yeswehack.com/programs/swiss-post,True,False,['post.ch']
Telenor,https://yeswehack.com/programs/telenor-sweden-public-bug-bounty-program,True,False,"['telenor.se', 'bredbandsbolaget.se', 'europolitan.se', 'ownit.se']"
Treebal,https://yeswehack.com/programs/treebal-the-eco-responsible-messaging,True,True,['treebal.green']
YesWeHack,https://yeswehack.com/programs/yes-we-hack,True,,['yeswehack.com']
